# SmartSpeak Verified Labels Dataset
sample_id,folder_id,filename,algorithmic_label,human_label,borderline_distance_score,borderline_rank,measured_shoulder_tilt_deg,measured_spine_angle_deg,measured_shoulder_y_diff,measured_shoulder_span_px,algorithmic_rationale
1,1,"frame_001.jpg","Poor Posture","",0.13,118,80.6,68.7,0.0696,34.7,"Tilt=80.6°, Spine=68.6°, YDiff=0.070"
2,1,"frame_004.jpg","Poor Posture","",0.158,124,25.9,12.6,0.0286,51.7,"Tilt=25.9°, Spine=12.6°, YDiff=0.029"
3,1,"frame_007.jpg","Poor Posture","",0.0453,65,71.8,14.3,0.0284,15.7,"Tilt=71.8°, Spine=14.3°, YDiff=0.028"
4,1,"frame_010.jpg","Poor Posture","",0.0227,26,10.3,14.7,0.0088,41.3,"Tilt=10.3°, Spine=14.7°, YDiff=0.009"
5,1,"frame_029.jpg","Best Posture","",0.2667,165,,,,,"OpenCV fallback tilt_offset=5.5%"
6,1,"frame_031.jpg","Best Posture","",0.1733,133,,,,,"OpenCV fallback tilt_offset=6.2%"
7,1,"frame_033.jpg","Best Posture","",0.1867,139,,,,,"OpenCV fallback tilt_offset=6.1%"
8,1,"frame_035.jpg","Good Posture","",0.0267,34,,,,,"OpenCV fallback tilt_offset=7.7%"
9,1,"frame_039.jpg","Poor Posture","",0.019,22,9.8,31.1,0.0009,4.3,"Tilt=9.8°, Spine=31.1°, YDiff=0.001"
10,1,"frame_044.jpg","Good Posture","",0.073,88,9.3,10.7,0.0144,75.4,"Tilt=9.3°, Spine=10.7°, YDiff=0.014"
11,1,"frame_048.jpg","Good Posture","",0.028,38,9.7,9.1,0.0149,73.9,"Tilt=9.7°, Spine=9.1°, YDiff=0.015"
12,1,"frame_055.jpg","Poor Posture","",0.121,114,11.2,6.7,0.0181,77.9,"Tilt=11.2°, Spine=6.7°, YDiff=0.018"
13,1,"frame_058.jpg","Best Posture","",0.112,106,4.4,2.5,0.005,54.2,"Tilt=4.4°, Spine=2.6°, YDiff=0.005"
14,1,"frame_061.jpg","Poor Posture","",0.04,54,,,,,"OpenCV fallback tilt_offset=15.6%"
15,1,"frame_065.jpg","Poor Posture","",0.024,28,10.2,4.9,0.0157,73.9,"Tilt=10.2°, Spine=4.9°, YDiff=0.016"
16,2,"frame_001.jpg","Good Posture","",0.04,54,,,,,"OpenCV fallback tilt_offset=7.8%"
17,2,"frame_002.jpg","Poor Posture","",0.0513,73,0.6,15.8,0.0005,41.9,"Tilt=0.6°, Spine=15.8°, YDiff=0.001"
18,2,"frame_005.jpg","Poor Posture","",0.047,68,10.5,5.3,0.0164,75.7,"Tilt=10.5°, Spine=5.3°, YDiff=0.016"
19,2,"frame_006.jpg","Good Posture","",0.039,52,9.6,5.1,0.0158,79.5,"Tilt=9.6°, Spine=5.1°, YDiff=0.016"
20,2,"frame_014.jpg","Best Posture","",0.116,110,4.2,6.6,0.0063,71.9,"Tilt=4.3°, Spine=6.6°, YDiff=0.006"
21,2,"frame_018.jpg","Poor Posture","",0.033,43,10.3,6.5,0.0169,78.8,"Tilt=10.3°, Spine=6.4°, YDiff=0.017"
22,2,"frame_026.jpg","Good Posture","",0.0267,34,,,,,"OpenCV fallback tilt_offset=7.7%"
23,2,"frame_032.jpg","Poor Posture","",0.0067,6,,,,,"OpenCV fallback tilt_offset=15.1%"
24,2,"frame_034.jpg","Good Posture","",0.0333,44,,,,,"OpenCV fallback tilt_offset=14.5%"
25,2,"frame_035.jpg","Poor Posture","",0.0467,67,,,,,"OpenCV fallback tilt_offset=15.7%"
26,2,"frame_041.jpg","Good Posture","",0.038,50,9.6,10.1,0.0149,74.7,"Tilt=9.6°, Spine=10.0°, YDiff=0.015"
27,2,"frame_048.jpg","Good Posture","",0.028,38,9.7,9.1,0.0149,73.9,"Tilt=9.7°, Spine=9.1°, YDiff=0.015"
28,2,"frame_058.jpg","Best Posture","",0.112,106,4.4,2.5,0.005,54.2,"Tilt=4.4°, Spine=2.6°, YDiff=0.005"
29,2,"frame_061.jpg","Poor Posture","",0.04,54,,,,,"OpenCV fallback tilt_offset=15.6%"
30,2,"frame_065.jpg","Poor Posture","",0.024,28,10.2,4.9,0.0157,73.9,"Tilt=10.2°, Spine=4.9°, YDiff=0.016"
31,3,"frame_002.jpg","Best Posture","",0.0587,84,2.3,7.1,0.0055,64.2,"Tilt=2.3°, Spine=7.1°, YDiff=0.005"
32,3,"frame_006.jpg","Best Posture","",0.248,161,3.8,0.3,0.0058,42.5,"Tilt=3.8°, Spine=0.3°, YDiff=0.006"
33,3,"frame_009.jpg","Best Posture","",0.224,147,3.9,5.3,0.008,56.8,"Tilt=3.9°, Spine=5.3°, YDiff=0.008"
34,3,"frame_012.jpg","Best Posture","",0.2853,170,2.8,5.4,0.0062,61,"Tilt=2.8°, Spine=5.4°, YDiff=0.006"
35,3,"frame_015.jpg","Best Posture","",0.276,168,3.6,3.7,0.0085,64.8,"Tilt=3.6°, Spine=3.7°, YDiff=0.009"
